,Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
0,Issue with getting started steps on github,3.0,0.0,0.05263157894736842,0.05263157894736842
1,Fix EventsResourceIT.testEventPostandGet,3.0,0.0,0.5263157894736842,0.5263157894736842
2,Remove old dictionary calls with Hector and migrate to the map module,1.0,1.0,0.631578947368421,0.631578947368421
3,Migrate counters from Hector to Datastax Java Driver,3.0,1.0,0.631578947368421,0.631578947368421
4,Limit not honored on subsequent requests with cursors,3.0,0.0,0.631578947368421,0.631578947368421
5,Error and possible race condition in the assets/uuid/data endpoints. ,3.0,0.3333333333333333,0.5263157894736842,0.5263157894736842
6,Fix the GET /management/users/<userid> endpoint permissions,3.0,0.0,0.47368421052631576,0.47368421052631576
7,Cannot get events after they have been posted,3.0,0.0,0.0,0.0
8,Set a property to turn off usergrid's dependency on elasticsearch,5.0,1.0,0.47368421052631576,0.47368421052631576
9,Remove Fields and Map to Entity Conversions from Core,8.0,1.0,0.15789473684210525,0.15789473684210525
10,Upgrade pushy library to use latest version (HTTP/2 APNS implementation) ,2.0,1.0,0.05263157894736842,0.05263157894736842
11,"'order by created desc' causing no results in location query (affects 1.0, not sure about 2.0)",3.0,0.0,0.15789473684210525,0.15789473684210525
12,Allow usergrid.api.url.base to be set when creating organizations.,2.0,0.4444444444444444,0.47368421052631576,0.47368421052631576
13,Support APNS VoIP Push Notifications,2.0,1.0,0.05263157894736842,0.05263157894736842
14,Queries without 'ql' return a Null Pointer instead of a meaningful message,3.0,0.0,0.9473684210526315,0.9473684210526315
15,New Apps not in dropdown until you click on Org Administration Page,3.0,0.0,0.9473684210526315,0.9473684210526315
16,Allow the ability to view more that 10 applications in the applications dropdown and on the organization administration view,2.0,0.0,0.05263157894736842,0.05263157894736842
17,Portal does not show progress indicator for registration,3.0,0.0,0.9473684210526315,0.9473684210526315
18,remove index and deindex requests that do not go through sqs e.g. CandidateIdFilter,3.0,1.0,0.15789473684210525,0.15789473684210525
19,Expose refresh token at the REST tier,3.0,0.0,1.0,1.0
20,Bad geo query returns entire collection,3.0,0.0,1.0,1.0
21,Test and design for ElasticSearch running on Tomcat nodes,5.0,0.0,0.9473684210526315,0.9473684210526315
22,Call to /indexes produces a 500 error if used with connections,3.0,0.0,1.0,1.0
23,ActivityStreams should be indexed,3.0,0.0,1.0,1.0
24,Collection counters on App endpoint are completely off,3.0,0.0,1.0,1.0
