,Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
0,Argument forwaring in CMake build result in glog 0.4.0 build as shared library,1.0,0.0,0.014285714285714285,0.014285714285714285
1,MasterQuotaTest.ValidateLimitAgainstConsumed is flaky,3.0,0.0,1.0,1.0
2,Re-evaluate libevent SSL socket EOF semantics in libprocess,3.0,0.0,1.0,1.0
3,Mesos may report completed task as running in the state.,5.0,0.0,0.2,0.2
4,Flapping tasks with large sandboxes can fill agent disk,5.0,0.0,1.0,1.0
5,Using a symlink as the agent's work directory results in non-removal of persistent volume mounts.,2.0,0.0,0.37142857142857144,0.37142857142857144
6,ZooKeeperTest.Auth is flaky.,3.0,0.7857142857142857,0.15714285714285714,0.15714285714285714
7,Migrate allocator metrics to PushGauge.,5.0,0.0,0.2,0.2
8,SEGV During Initial Connect Processing,5.0,0.0,0.0,0.0
9,"When `UPDATE_SLAVE` messages are received, offers might not be rescinded due to a race ",2.0,0.7857142857142857,0.014285714285714285,0.014285714285714285
10,Test that master rejects requests to create refined reservations on a non-capable agent.,2.0,0.0,0.02857142857142857,0.02857142857142857
11,Specifying custom CXXFLAGS breaks Mesos build,3.0,0.0,0.014285714285714285,0.014285714285714285
12,Check all omissions of 'defer' for safety,5.0,0.0,1.0,1.0
13,Provide doc examples for dynamic reservation/persistent volumes,3.0,0.0,1.0,1.0
14,Fetcher may print logging error when run as unprivileged user,2.0,0.0,1.0,1.0
15,ContainerLoggerTest.LOGROTATE_RotateInSandbox is flaky,1.0,0.0,1.0,1.0
16,Parsing to protobuf leads to API call validation errors,3.0,0.0,1.0,1.0
17,Master may send `FRAMEWORK_UPDATED` for a new framework ID in operator API.,3.0,0.0,0.4,0.4
18,Early disk usage check for garbage collection during recovery,2.0,0.0,0.4,0.4
19,FetcherCacheHttpTest.HttpCachedSerialized and FetcherCacheHttpTest.HttpCachedConcurrent are flaky,2.0,0.0,0.37142857142857144,0.37142857142857144
20,Test `ROOT_DOCKER_DockerAndMesosContainerizers/DefaultExecutorTest.TaskWithFileURI` is flaky.,1.0,0.0,0.2,0.2
21,Default executor should commit suicide if it cannot receive HTTP responses for LAUNCH_NESTED_CONTAINER calls.,3.0,0.07142857142857142,0.4,0.4
22,Mesos CNI portmap plugins' iptables rules doesn't allow connections via host ip and port from the same bridge container network,3.0,0.7142857142857143,0.0,0.0
23,CgroupsAnyHierarchyMemoryPressureTest.ROOT_IncreaseRSS Flaky,3.0,1.0,0.04285714285714286,0.04285714285714286
24,GarbageCollectorIntegrationTest.ExitedFramework is flaky,3.0,0.0,0.2571428571428571,0.2571428571428571
25,Support distinguishing revocable resources in the Resource protobuf.,2.0,0.0,0.2,0.2
26,Identify and implement test cases for verifying eviction logic in the agent,13.0,0.0,0.2,0.2
27,Extend mesos-style.py/cpplint.py to check #include files,1.0,0.0,0.04285714285714286,0.04285714285714286
28,"Add a helper function to the Agent to retrieve the list of executors that are using optimistically offered, revocable resources.",5.0,0.0,0.2,0.2
29,consecutive_failures 0 == 1 in HealthCheck.,3.0,0.0,0.0,0.0
30,Test DockerContainerizerTest.ROOT_DOCKER_Launch_Executor fails.,2.0,0.0,0.1,0.1
31,stout flags can't have their defaults reset,5.0,0.0,0.02857142857142857,0.02857142857142857
32,Synchronously handle AuthZ errors for the Scheduler endpoint.,5.0,0.0,0.15714285714285714,0.15714285714285714
33,Add support to apply-reviews.py to update SVN when necessary. ,3.0,0.0,0.2,0.2
34,GroupTest.LabelledGroup segfaults,2.0,0.0,0.2571428571428571,0.2571428571428571
35,The slave does not show pending tasks in the JSON endpoints.,1.0,0.0,0.2857142857142857,0.2857142857142857
36,Expand the range of integer precision in json <-> protobuf conversions to include unsigned integers,5.0,0.0,0.37142857142857144,0.37142857142857144
37,Fatal error in `DRFSorter::unallocated()` in `SharedPersistentVolumeRescindOnDestroy` test.,2.0,0.6428571428571429,0.05714285714285714,0.05714285714285714
38,MasterAPITest.EventAuthorizationFiltering is flaky,3.0,0.21428571428571427,1.0,1.0
39,ABORT checks its preconditions incorrectly and incompletely,1.0,0.0,0.18571428571428572,0.18571428571428572
40,Confirm errors in authorized persistent volume tests,1.0,0.0,1.0,1.0
41,Labels equality behavior is wrong,5.0,0.0,0.02857142857142857,0.02857142857142857
42,The agent's GET_AGENT leaks resource information when using authorization,3.0,0.0,0.18571428571428572,0.18571428571428572
43,Enqueueing events in MockHTTPScheduler can lead to segfaults.,5.0,0.0,0.4142857142857143,0.38571428571428573
44,`cpu.cfs_quota_us` may be accidentally set for command task using docker during agent recovery.,5.0,0.7142857142857143,0.2,0.2
45,Nested container launched with non-root user may not be able to write to its sandbox via the environment variable `MESOS_SANDBOX`,3.0,0.7142857142857143,0.07142857142857142,0.07142857142857142
46,Persistence volume does not unmount correctly with wrong artifact URI,3.0,0.7857142857142857,0.0,0.0
47,Fetcher crashes extracting archives with non-ASCII filenames.,3.0,0.0,0.014285714285714285,0.014285714285714285
48,Non-checkpointing framework's tasks should not be marked LOST when agent disconnects.,5.0,0.0,0.2857142857142857,0.2857142857142857
49,Master's agent removal rate limit also applies to agent unreachability.,3.0,0.0,0.2857142857142857,0.2857142857142857
50,ExecutorHttpApiTest.HeartbeatCalls is flaky.,2.0,0.0,0.15714285714285714,0.15714285714285714
51,ZK master detection can become forever pending.,5.0,0.0,0.4,0.4
52,PersistentVolumeEndpointsTest.EndpointCreateThenOfferRemove test is flaky,2.0,1.0,0.2571428571428571,0.2571428571428571
53,Slow subscribers of streaming APIs can lead to Mesos OOMing.,8.0,0.0,0.4142857142857143,0.38571428571428573
54,Libprocess: deadlock in process::finalize,5.0,0.2857142857142857,0.05714285714285714,0.05714285714285714
55,Libprocess does not properly escape subprocess argument strings on Windows,2.0,0.0,1.0,1.0
56,Docker command executor may stuck at infinite unkillable loop.,3.0,0.2857142857142857,0.1,0.1
57,Some container launch failures are mistakenly treated as errors.,5.0,0.0,0.4142857142857143,0.38571428571428573
58,ImageAlpine/ProvisionerDockerTest.ROOT_INTERNET_CURL_SimpleCommand/3 is flaky in some OS.,3.0,0.0,0.1,0.1
59,PersistentVolumeEndpointsTest.DynamicReservation is flaky.,1.0,0.0,0.2857142857142857,0.2857142857142857
60,Agent does not check for immutable files while removing persistent volumes (and possibly in other GC operations),3.0,0.0,0.37142857142857144,0.37142857142857144
61,v1 role-related endpoints need to reflect hierarchical accounting.,8.0,0.21428571428571427,0.2857142857142857,0.2857142857142857
62,Assertion failed in Master for `Slave::apply` while running `UnreserveVolumeResources` test.,3.0,0.0,0.05714285714285714,0.05714285714285714
63,Speculative operations may make master and allocator resource views out of sync.,5.0,1.0,0.2,0.2
64,SlaveRecoveryTest/0.PingTimeoutDuringRecovery is flaky,3.0,0.7857142857142857,0.02857142857142857,0.02857142857142857
65,Test ReservationEndpointsTest.ReserveAndUnreserveNoAuthentication is flaky.,2.0,1.0,0.2,0.2
66,SlaveTest.RestartSlaveRequireExecutorAuthentication is flaky.,5.0,0.0,1.0,1.0
67,Libevent fd cleanup failure may cause hangs in combination with client certificate validation,3.0,0.0,0.014285714285714285,0.014285714285714285
68,Executor env variables should not be leaked to the command task.,3.0,0.0,0.1,0.1
69,"Failing 'make distcheck' on Mac OS X 10.10.5, also 10.11.",2.0,0.0,0.1,0.1
70,Modularize Network in replicated_log,8.0,0.14285714285714285,0.0,0.0
71,UCR cannot read docker images containing long file paths,3.0,0.14285714285714285,0.4,0.4
72,Prevent non-RESERVATION_REFINEMENT frameworks from refining reservations.,3.0,0.0,0.02857142857142857,0.02857142857142857
73,DefaultExecutorTest.ROOT_MultiTaskgroupSharePidNamespace is flaky.,2.0,0.7142857142857143,0.4142857142857143,0.38571428571428573
74,MemoryPressureMesosTest tests fail on CentOS 6.6,3.0,1.0,1.0,1.0
75,GMock warning on `offerRescinded` in `ReservationTest` fixture,2.0,0.0,1.0,1.0
76,FUTURE_DISPATCH may react on irrelevant dispatch.,5.0,0.0,0.4142857142857143,0.38571428571428573
77,Response from /help includes broken links.,3.0,0.0,0.4142857142857143,0.38571428571428573
78,Some task status updates sent by the default executor don't contain a REASON.,3.0,0.0,0.08571428571428572,0.08571428571428572
79,The default executor doesn't retry kills that it initiated,5.0,0.0,0.08571428571428572,0.08571428571428572
80,Some HTTP scheduler calls are missing from the docs,2.0,0.0,1.0,1.0
81,Libprocess reinit code leaks SSL server socket FD,2.0,0.7857142857142857,1.0,1.0
82,The default executor can wrongly indicate that tasks from all task groups are unhealthy,3.0,0.0,0.08571428571428572,0.08571428571428572
83,Default executor should allow decreasing the escalation grace period of a terminating task,5.0,0.0,0.08571428571428572,0.08571428571428572
84,PersistentVolumeEndpointsTest.StaticReservation is flaky,2.0,1.0,0.2571428571428571,0.2571428571428571
85,Some ProvisionerDockerLocalStoreTest.* are flaky due to tar issue.,2.0,0.0,0.2571428571428571,0.2571428571428571
86,Update reservation slack allocator state during agent failover.,13.0,0.21428571428571427,0.2,0.2
87,DOCKER_HOST env variable stopped working for executors,2.0,0.0,0.0,0.0
88,Add a helper function to the Agent to check available resources before launching a task. ,5.0,0.7857142857142857,0.2,0.2
89,Subprocess should be more intelligent about setting/inheriting libprocess environment variables ,2.0,0.0,0.37142857142857144,0.37142857142857144
90,CgroupsAnyHierarchyWithPerfEventTest failing on Ubuntu 14.04,3.0,0.0,0.2,0.2
91,Identify and implement test cases for handling a race between optimistic lender and tenant offers.,13.0,0.0,0.2,0.2
92,Modify Oversubscription documentation to explicitly forbid the QoS Controller from killing executors running on optimistically offered resources.,2.0,0.0,0.2,0.2
