,Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
0,"Contractual work, justifications, inventory for LSST hardware",2.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
1,meas_extensions_shapeHSM seems to be broken,1.0,0.7582292849035187,0.005494505494505495,0.005494505494505495
2,MariaDB does not work together with mysql-proxy,2.0,0.4733257661748014,0.23809523809523808,0.23626373626373626
3,JIRA project for the publication board,2.0,0.18047673098751418,0.3031135531135531,0.304029304029304
4,Rename temporarily mariadb client,1.0,0.4177071509648127,0.3543956043956044,0.3543956043956044
5,Consulting in December,2.5,0.004540295119182747,0.3076923076923077,0.3067765567765568
6,Update provenance in baseline schema,2.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
7,Packge mysqlproxy 0.8.5,2.0,0.4177071509648127,0.3543956043956044,0.3543956043956044
8,FITS Visualizer porting: Mouse Readout: part 2: flux value,4.0,0.10556186152099886,0.2490842490842491,0.2490842490842491
9,FITS Visualizer porting: Mouse Readout: part 3: Lock by click & 3 color support,8.0,0.10556186152099886,0.2490842490842491,0.2490842490842491
10,F17 Qserv MySQL connection cleanup,10.0,0.0,0.9459706959706959,0.5815018315018315
11,Refactor prototype docs into “Developer Guide” and Science Pipelines doc projects,3.0,0.9125993189557321,0.6565934065934066,0.6538461538461539
12,Write Zoom Options Popup,2.0,0.0170261066969353,0.2490842490842491,0.2490842490842491
13,Support per-mapper default filter name,0.25,0.7582292849035187,1.0,1.0
14,Allow ISR to fall back to a different filter when loading calibrations,0.25,0.7582292849035187,1.0,1.0
15,SafeClipAssembleCoaddConfig.setDefaults() does not call the correct superclass,0.25,0.7582292849035187,1.0,1.0
16,DetectCoaddSourcesTask.scaleVariance gets wrong result,1.0,0.7582292849035187,1.0,1.0
17,Rotate Popup,4.0,0.0170261066969353,0.2490842490842491,0.2490842490842491
18,Use simpler method of converting from Mask to FootprintSet,0.25,0.7582292849035187,1.0,1.0
19,Update the ground truth values in the lsst_dm_demo to reflect new defaults in deblending,0.5,0.3348467650397276,0.20238095238095238,0.20238095238095238
20,Some wcs keywords need to be removed from the metadata of raw DECam data,7.0,0.49375709421112374,0.43956043956043955,0.43864468864468864
21,Test stack with mariadbclient,2.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
22,Add Shared Scan Table Information to CSS ,4.0,0.19182746878547105,0.09432234432234432,0.09432234432234432
23,Package mariadbclient,1.0,0.4177071509648127,0.9459706959706959,0.5815018315018315
24,X16 Fine-tune Shared Scans,29.0,0.19182746878547105,0.9459706959706959,0.5815018315018315
25,Provenance Prototyping,50.0,0.4733257661748014,0.9459706959706959,0.5815018315018315
26,Create validation_data set for DECam validation test,2.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
27,Planning for Software Documentation Deployment Service,3.5,0.9125993189557321,0.6565934065934066,0.6538461538461539
28,Please add a way to get a Filter's canonical name,0.25,0.7582292849035187,1.0,1.0
29,Read and understand `ci_hsc` and plan relationship with `validate_drp`,2.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
30,Improvement of raw data handling in DecamMapper,1.0,0.49375709421112374,0.43956043956043955,0.43864468864468864
31,HSC backport: Remove interpolated background before detection to reduce junk sources,1.0,0.29284903518728717,0.2078754578754579,0.2078754578754579
32,Code review,4.0,0.49375709421112374,0.43956043956043955,0.43864468864468864
33,Add Dropdowns to Vis toolbar,2.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
34,Clean up div and css layout on FitsDownloadDialog,1.0,0.10556186152099886,0.2490842490842491,0.2490842490842491
35,makeDiscreteSkymap has a default dataset of 'raw',1.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
36,Understand async queries in Qserv,10.0,0.4733257661748014,0.9459706959706959,0.5815018315018315
37,Adapt `validate_drp` to standard python and bin subdir sturcture,0.5,0.11577752553916004,0.09615384615384616,0.09615384615384616
38,"Finish Fits View Decoration: context toolbar, title, expand button, etc",5.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
39,Add error handling to PsfFitter in meas::modelfit,6.0,0.14982973893303064,0.054945054945054944,0.054945054945054944
40,Add bright object masks to pipeline outputs,3.0,0.3348467650397276,1.0,1.0
41,Add new HSC-I2 filter,0.1,0.3348467650397276,1.0,1.0
42,Update configuration for Suprime-Cam,1.0,0.3348467650397276,1.0,1.0
